person  2018-02-11 02:10:37.622148
person  2018-02-11 02:10:37.622487
person  2018-02-11 02:10:37.622708
person  2018-02-11 02:10:37.622880
person  2018-02-11 02:10:37.623033
person  2018-02-11 02:10:37.623222
person  2018-02-11 02:10:37.623393
chair  2018-02-11 02:10:37.623556
chair  2018-02-11 02:10:37.623692
chair  2018-02-11 02:10:37.623841
person  2018-02-11 02:10:39.955349
person  2018-02-11 02:10:39.955677
person  2018-02-11 02:10:39.955871
person  2018-02-11 02:10:39.956025
person  2018-02-11 02:10:39.956205
person  2018-02-11 02:10:39.956369
person  2018-02-11 02:10:39.956526
chair  2018-02-11 02:10:39.956681
chair  2018-02-11 02:10:39.956840
chair  2018-02-11 02:10:39.956967
person  2018-02-11 02:10:42.057425
person  2018-02-11 02:10:42.057828
person  2018-02-11 02:10:42.058012
person  2018-02-11 02:10:42.058172
person  2018-02-11 02:10:42.058320
person  2018-02-11 02:10:42.058506
person  2018-02-11 02:10:42.058672
person  2018-02-11 02:10:42.058827
person  2018-02-11 02:10:42.058976
person  2018-02-11 02:10:42.059133
